probe_id,GSM178746,GSM180372,GSM180373,GSM180374,GSM180375,GSM180376,GSM180377,GSM180378,GSM180379,GSM180380,GSM180381,GSM180382,GSM180383,GSM180384,GSM180385,GSM180386,GSM180387,GSM180388,GSM180389,GSM180390
204530_s_at,5676.88,11231.1,258.964,3645.35,1959.89,4514.4,5653.58,1473.28,407.082,2093.49,229.216,3076.1,559.245,476.198,316.268,2710.47,5349.36,4077.73,232.757,5841.33
204531_s_at,292.909,604.747,395.099,2286.66,4383.98,580.773,6009.12,209.375,3075.3,219.003,5848.81,822.175,1162.93,3974.03,739.338,841.847,5630.87,1665.33,1031.38,8933.93
204532_x_at,13379.3,2269.66,7063.06,971.993,1296.91,349.301,3041.63,384.551,3739.51,261.657,457.443,3286.54,210.504,5588.21,4547.05,5235.5,239.827,2751.87,4762.98,5312.52
204533_at,9203.9,1058.11,679.837,4666.46,3369.53,270.944,1567.15,546.04,4488.94,7658.43,2643.66,6792.86,240.058,3122.79,1608.83,242.998,4224.51,5313.22,3573.12,603.9
204534_at,510.473,1315.03,6732.04,920.093,8378.11,5843.41,656.585,667.299,426.777,663.495,3851.74,2428.15,585.428,261.529,682.764,2585.38,576.221,237.738,4058.97,289.185
204535_s_at,766.595,893.694,1703.51,856.291,7394.06,15774.9,4760.45,740.368,1479.76,880.754,717.608,1216.68,7525.95,1403.5,531.339,392.092,1077.79,931.06,1160.23,438.104
204536_s_at,5655.27,6981.45,5837.21,781.362,2193.37,335.637,460.04,674.848,148.891,470.496,449.9,944.34,622.522,561.926,1421.46,219.065,4897.84,966.058,296.587,714.429
204537_s_at,3111.43,412.027,2538.29,1893.18,5029.31,4343.64,383.499,9808.27,347.992,392.632,219.278,3989.95,3673.49,3670.88,350.291,5892.28,6769.83,4495.74,6797.8,128.067
204538_x_at,359.127,534.927,750.992,375.985,3926.81,697.936,279.452,2405.7,417.291,296.881,1260.73,356.914,4342.19,503.359,1017.96,3453.01,1686.76,2997.99,464.983,5712.74
204539_s_at,4634.97,3264.46,787.437,362.358,780.058,615.88,4120.39,5257.85,1964.22,160.564,494.448,713.094,329.575,3126.47,341.815,354.098,5749.47,252.827,1104.72,788.519
204540_at,350.351,638.969,5505.48,383.948,482.945,3374.1,903.769,288.599,625.448,3196.61,225.268,2667.44,2136.25,589.859,3230.55,1666.66,2287.75,207.978,902.037,217.356
204541_at,11997.1,4779.9,544.58,452.326,3089.52,1370.14,1690.56,373.949,1830.69,4075.43,674.447,267.889,3501.48,196.62,1602.76,4526.9,1135.12,7399.37,3188.53,4391.86
204542_at,609.934,932.143,1710.09,2655.7,420.302,6254.06,3018.15,1105.18,4341.14,4099.04,550.153,8288.16,15818.3,14099.6,8382.94,6182.32,13340.6,5278.83,8752.65,520.652
204543_at,352.939,886.479,4561.36,6038.81,381.929,1523.84,255.114,3231.93,445.168,443.569,341.396,326.799,975.346,1556.68,1216.11,826.967,8736.25,220.504,242.66,551.36
204544_at,6862.25,6260.73,365.522,3802.34,322.704,4187.76,300.872,5536.14,1998.57,4165.07,256.148,5399.3,2163.79,1283.89,189.77,219.589,1359.62,6698.55,2306.26,2606.71
204545_at,3409.09,258.746,1516.65,258.219,6167.15,348.857,241.306,3553.89,201.454,669.42,318.58,5476.37,4697.1,960.458,3822.49,5794.36,1777.57,270.318,327.522,310.931
204546_at,7335.53,1725.96,621.843,2178.63,5131.59,8997.4,2848.9,1734.92,3392.36,5219.65,1120.53,13070.3,4524.97,967.265,2590.35,346.382,1456.05,873.013,3032.15,229.234
204547_at,375.761,6498.79,899.722,5903.46,1067.8,415.67,5291.79,1944.05,314.78,4440.15,352.609,553.636,490.644,701.523,630.439,483.068,5077.7,692.691,584.391,2023.02
204548_at,1140.1,344.315,1024.27,573.365,390.16,6344.52,1083.7,504.298,370.905,8750.62,473.082,1544.36,544.231,208.115,285.881,294.623,386.459,2659.65,492.51,271.978
204549_at,9172,601.465,1218.91,502.355,4307.56,1307,303.257,2671.98,529.131,666.289,566.239,683.659,4485.55,1864.43,5675.35,3705.08,7756.9,992.477,1374.41,449.233
204550_x_at,3263.49,5729.63,1134.81,1293.79,8140.57,269.517,532.711,6136.07,8052.54,7357.3,4379.83,3648.97,4707.59,3690.19,725.928,6077.21,5267.28,4341.15,3156.51,8268.88
