logFC,AveExpr,t,P.Value,adj.P.Val,B,probe_id
4887.4284,3875.6037,3.61825853753778,0.00160724706698969,0.725693587215955,-4.59504993112185,203596_s_at
-3780.6192,2726.4097,-3.61683179437177,0.00161269420244266,0.725693587215955,-4.59504996968504,222336_at
5931.511,6436.9245,3.6120185486849,0.00163120514339946,0.725693587215955,-4.59505009984117,200911_s_at
3045.623,3246.7628,3.59955175220529,0.00168012917739131,0.725693587215955,-4.59505043738605,231991_at
3602.0842,3556.0271,3.58984806582291,0.00171920747129775,0.725693587215955,-4.59505070054279,241812_at
2881.9107,2321.43335,3.58976300786153,0.00171955393975255,0.725693587215955,-4.59505070285114,239473_x_at
3001.1996,3507.7312,3.58822145692587,0.00172584509937914,0.725693587215955,-4.59505074469141,1562741_at
-3242.4043,2845.33575,-3.58667436218307,0.00173218166588877,0.725693587215955,-4.59505078669151,227470_at
3579.8139,3875.39305,3.58508116519095,0.00173873099521355,0.725693587215955,-4.59505082995298,211911_x_at
2984.1559,2007.16675,3.58456411371334,0.00174086173029927,0.725693587215955,-4.59505084399506,1552743_at
3588.2637,3415.58555,3.58104643553585,0.00175542623557239,0.725693587215955,-4.59505093955589,237455_at
-4000.651,2839.8515,-3.58090033899716,0.00175603371716713,0.725693587215955,-4.59505094352577,207009_at
-350298.7,809794.85,-3.58084865521424,0.00175624867219461,0.725693587215955,-4.5950509449302,AFFX-r2-Ec-bioC-3_at
4739.6278,4403.2648,3.5802704462077,0.00175865523415685,0.725693587215955,-4.59505096064282,223583_at
5323.718,6652.59,3.57944792655569,0.0017620842345423,0.725693587215955,-4.59505098299675,234989_at
6961.2922,6430.8566,3.57868030678087,0.0017652902990347,0.725693587215955,-4.59505100386102,226400_at
10499.3809,11459.16255,3.57355724113129,0.00178683496133599,0.726076880694754,-4.59505114316712,212560_at
-3700.8716,2406.9339,-3.57030673734023,0.00180063866748302,0.726076880694754,-4.5950512316075,221322_at
-1113963,2701824.5,-3.56592589692463,0.00181940863128282,0.726076880694754,-4.59505135086709,AFFX-r2-Ec-bioD-5_at
2686.5705,2425.28365,3.56585772903945,0.00181970221635006,0.726076880694754,-4.59505135272341,238888_at
28058.7617,17039.42815,3.56232383116486,0.00183498599428261,0.726076880694754,-4.59505144898168,228617_at
18295.6063,13598.30345,3.55251223333603,0.00187808533478202,0.726076880694754,-4.59505171648764,211742_s_at
2471.4935,1984.30425,3.55243641564071,0.00187842222500582,0.726076880694754,-4.59505171855619,207984_s_at
