probe_id,present_fraction,absent_fraction,filter_status
1552732_at,NA,NA,N/A_series_matrix_already_processed
1552733_at,NA,NA,N/A_series_matrix_already_processed
1552734_at,NA,NA,N/A_series_matrix_already_processed
1552735_at,NA,NA,N/A_series_matrix_already_processed
1552736_a_at,NA,NA,N/A_series_matrix_already_processed
1552737_s_at,NA,NA,N/A_series_matrix_already_processed
1552738_a_at,NA,NA,N/A_series_matrix_already_processed
1552739_s_at,NA,NA,N/A_series_matrix_already_processed
1552740_at,NA,NA,N/A_series_matrix_already_processed
1552742_at,NA,NA,N/A_series_matrix_already_processed
1552743_at,NA,NA,N/A_series_matrix_already_processed
1552745_at,NA,NA,N/A_series_matrix_already_processed
1552747_a_at,NA,NA,N/A_series_matrix_already_processed
1552749_a_at,NA,NA,N/A_series_matrix_already_processed
1552750_at,NA,NA,N/A_series_matrix_already_processed
1552751_a_at,NA,NA,N/A_series_matrix_already_processed
1552752_a_at,NA,NA,N/A_series_matrix_already_processed
1552754_a_at,NA,NA,N/A_series_matrix_already_processed
1552755_at,NA,NA,N/A_series_matrix_already_processed
1552757_s_at,NA,NA,N/A_series_matrix_already_processed
1552758_at,NA,NA,N/A_series_matrix_already_processed
1552760_at,NA,NA,N/A_series_matrix_already_processed
1552761_at,NA,NA,N/A_series_matrix_already_processed
1552763_at,NA,NA,N/A_series_matrix_already_processed
1552765_x_at,NA,NA,N/A_series_matrix_already_processed
1552766_at,NA,NA,N/A_series_matrix_already_processed
1552767_a_at,NA,NA,N/A_series_matrix_already_processed
1552768_at,NA,NA,N/A_series_matrix_already_processed
1552769_at,NA,NA,N/A_series_matrix_already_processed
1552770_s_at,NA,NA,N/A_series_matrix_already_processed
1552771_a_at,NA,NA,N/A_series_matrix_already_processed
1552772_at,NA,NA,N/A_series_matrix_already_processed
1552773_at,NA,NA,N/A_series_matrix_already_processed
1552774_a_at,NA,NA,N/A_series_matrix_already_processed
1552775_at,NA,NA,N/A_series_matrix_already_processed
1552777_a_at,NA,NA,N/A_series_matrix_already_processed
1552779_a_at,NA,NA,N/A_series_matrix_already_processed
1552782_at,NA,NA,N/A_series_matrix_already_processed
1552783_at,NA,NA,N/A_series_matrix_already_processed
1552785_at,NA,NA,N/A_series_matrix_already_processed
1552787_at,NA,NA,N/A_series_matrix_already_processed
1552788_a_at,NA,NA,N/A_series_matrix_already_processed
1552789_at,NA,NA,N/A_series_matrix_already_processed
1552790_a_at,NA,NA,N/A_series_matrix_already_processed
1552791_a_at,NA,NA,N/A_series_matrix_already_processed
1552792_at,NA,NA,N/A_series_matrix_already_processed
1552793_at,NA,NA,N/A_series_matrix_already_processed
1552794_a_at,NA,NA,N/A_series_matrix_already_processed
1552796_a_at,NA,NA,N/A_series_matrix_already_processed
1552797_s_at,NA,NA,N/A_series_matrix_already_processed
1552798_a_at,NA,NA,N/A_series_matrix_already_processed
1552799_at,NA,NA,N/A_series_matrix_already_processed
1552800_at,NA,NA,N/A_series_matrix_already_processed
1552801_at,NA,NA,N/A_series_matrix_already_processed
1552803_a_at,NA,NA,N/A_series_matrix_already_processed
1552804_a_at,NA,NA,N/A_series_matrix_already_processed
1552806_a_at,NA,NA,N/A_series_matrix_already_processed
1552807_a_at,NA,NA,N/A_series_matrix_already_processed
1552808_at,NA,NA,N/A_series_matrix_already_processed
1552809_at,NA,NA,N/A_series_matrix_already_processed
1552811_at,NA,NA,N/A_series_matrix_already_processed
1552812_a_at,NA,NA,N/A_series_matrix_already_processed
1552813_at,NA,NA,N/A_series_matrix_already_processed
1552814_a_at,NA,NA,N/A_series_matrix_already_processed
1552816_at,NA,NA,N/A_series_matrix_already_processed
1552818_a_at,NA,NA,N/A_series_matrix_already_processed
1552819_at,NA,NA,N/A_series_matrix_already_processed
1552822_at,NA,NA,N/A_series_matrix_already_processed
1552825_at,NA,NA,N/A_series_matrix_already_processed
1552826_at,NA,NA,N/A_series_matrix_already_processed
1552827_s_at,NA,NA,N/A_series_matrix_already_processed
1552828_at,NA,NA,N/A_series_matrix_already_processed
1552829_at,NA,NA,N/A_series_matrix_already_processed
1552830_at,NA,NA,N/A_series_matrix_already_processed
1552833_at,NA,NA,N/A_series_matrix_already_processed
1552834_at,NA,NA,N/A_series_matrix_already_processed
1552835_at,NA,NA,N/A_series_matrix_already_processed
1552836_at,NA,NA,N/A_series_matrix_already_processed
1552837_at,NA,NA,N/A_series_matrix_already_processed
1552839_at,NA,NA,N/A_series_matrix_already_processed
1552841_s_at,NA,NA,N/A_series_matrix_already_processed
1552842_at,NA,NA,N/A_series_matrix_already_processed
1552843_at,NA,NA,N/A_series_matrix_already_processed
1552845_at,NA,NA,N/A_series_matrix_already_processed
1552846_s_at,NA,NA,N/A_series_matrix_already_processed
1552848_a_at,NA,NA,N/A_series_matrix_already_processed
1552849_at,NA,NA,N/A_series_matrix_already_processed
1552851_at,NA,NA,N/A_series_matrix_already_processed
1552852_a_at,NA,NA,N/A_series_matrix_already_processed
1552853_at,NA,NA,N/A_series_matrix_already_processed
1552854_a_at,NA,NA,N/A_series_matrix_already_processed
1552856_at,NA,NA,N/A_series_matrix_already_processed
1552857_a_at,NA,NA,N/A_series_matrix_already_processed
1552858_at,NA,NA,N/A_series_matrix_already_processed
1552860_at,NA,NA,N/A_series_matrix_already_processed
1552862_at,NA,NA,N/A_series_matrix_already_processed
1552863_a_at,NA,NA,N/A_series_matrix_already_processed
1552865_a_at,NA,NA,N/A_series_matrix_already_processed
1552867_at,NA,NA,N/A_series_matrix_already_processed
1552868_at,NA,NA,N/A_series_matrix_already_processed
1552870_s_at,NA,NA,N/A_series_matrix_already_processed
1552872_at,NA,NA,N/A_series_matrix_already_processed
1552873_s_at,NA,NA,N/A_series_matrix_already_processed
1552875_a_at,NA,NA,N/A_series_matrix_already_processed
1552876_at,NA,NA,N/A_series_matrix_already_processed
1552877_s_at,NA,NA,N/A_series_matrix_already_processed
1552878_at,NA,NA,N/A_series_matrix_already_processed
1552879_a_at,NA,NA,N/A_series_matrix_already_processed
1552880_at,NA,NA,N/A_series_matrix_already_processed
1552882_a_at,NA,NA,N/A_series_matrix_already_processed
1552884_at,NA,NA,N/A_series_matrix_already_processed
1552885_a_at,NA,NA,N/A_series_matrix_already_processed
1552887_at,NA,NA,N/A_series_matrix_already_processed
1552889_a_at,NA,NA,N/A_series_matrix_already_processed
1552890_a_at,NA,NA,N/A_series_matrix_already_processed
1552892_at,NA,NA,N/A_series_matrix_already_processed
1552893_at,NA,NA,N/A_series_matrix_already_processed
1552895_a_at,NA,NA,N/A_series_matrix_already_processed
1552897_a_at,NA,NA,N/A_series_matrix_already_processed
1552898_a_at,NA,NA,N/A_series_matrix_already_processed
1552899_at,NA,NA,N/A_series_matrix_already_processed
1552900_a_at,NA,NA,N/A_series_matrix_already_processed
1552902_a_at,NA,NA,N/A_series_matrix_already_processed
1552903_at,NA,NA,N/A_series_matrix_already_processed
1552904_at,NA,NA,N/A_series_matrix_already_processed
1552906_at,NA,NA,N/A_series_matrix_already_processed
1552908_at,NA,NA,N/A_series_matrix_already_processed
1552910_at,NA,NA,N/A_series_matrix_already_processed
1552911_at,NA,NA,N/A_series_matrix_already_processed
1552912_a_at,NA,NA,N/A_series_matrix_already_processed
1552913_at,NA,NA,N/A_series_matrix_already_processed
1552914_a_at,NA,NA,N/A_series_matrix_already_processed
1552915_at,NA,NA,N/A_series_matrix_already_processed
1552917_at,NA,NA,N/A_series_matrix_already_processed
1552919_at,NA,NA,N/A_series_matrix_already_processed
1552921_a_at,NA,NA,N/A_series_matrix_already_processed
1552922_at,NA,NA,N/A_series_matrix_already_processed
1552923_a_at,NA,NA,N/A_series_matrix_already_processed
1552924_a_at,NA,NA,N/A_series_matrix_already_processed
1552925_at,NA,NA,N/A_series_matrix_already_processed
1552927_at,NA,NA,N/A_series_matrix_already_processed
1552928_s_at,NA,NA,N/A_series_matrix_already_processed
1552929_at,NA,NA,N/A_series_matrix_already_processed
1552930_at,NA,NA,N/A_series_matrix_already_processed
1552931_a_at,NA,NA,N/A_series_matrix_already_processed
1552932_at,NA,NA,N/A_series_matrix_already_processed
1552933_at,NA,NA,N/A_series_matrix_already_processed
1552935_at,NA,NA,N/A_series_matrix_already_processed
1552937_s_at,NA,NA,N/A_series_matrix_already_processed
1552938_at,NA,NA,N/A_series_matrix_already_processed
1552939_at,NA,NA,N/A_series_matrix_already_processed
1552940_at,NA,NA,N/A_series_matrix_already_processed
1552942_at,NA,NA,N/A_series_matrix_already_processed
1552943_at,NA,NA,N/A_series_matrix_already_processed
